Player,Year,WorldCup,WC_top_4,Continent Trophy,ChampionsLeague,AVG goals,GoalsRank,AVG assists,AssistRank,Trophies,FinalGoals,Derby_Goals,team_strength,Position,Value,ValueRank,CleanSheets
Haaland,2026,0,0,0,0,0.76,3,0.18,10,2,0,6,9,A,200,1,0
Mbappe,2026,0,1,0,0,1.15,2,0.18,11,2,1,2,9,A,200,1,0
Kane,2026,0,1,0,0,1.19,1,0.13,12,1,1,3,8,A,65,14,0
Szoboszlai,2026,0,0,0,0,0.28,13,0.2,10,0,0,4,8,M,85,10,0
Bruno,2026,0,0,0,0,0.24,16,0.52,4,0,0,2,5,M,40,19,0
Rodri,2026,0,1,0,0,0,45,0,46,2,0,0,9,M,75,12,0
Rice,2026,0,1,0,0,0.1,15,0.27,7,2,0,0,9,M,120,6,0
Yamal,2026,0,1,0,0,0.46,9,0.4,4,1,1,0,7,A,200,1,0
Vinicius,2026,0,0,0,0,0.33,11,0.3,6,1,0,1,9,A,150,3,0
Olise,2026,0,1,0,0,0.37,10,0.71,1,1,0,0,8,A,130,5,0
Dembele,2026,0,1,0,0,0.44,12,0.28,10,2,0,2,7,A,100,8,0
Lautaro,2026,0,1,0,0,0.51,6,0.1,12,2,0,0,6,A,85,10,0
Palmer,2026,0,1,0,0,0.47,13,0.1,15,1,0,0,5,A,120,6,0
Alvarez,2026,0,1,0,0,0.36,10,0.16,11,1,0,5,6,A,100,8,0
Vitinha,2026,0,0,0,0,0.17,17,0.28,7,2,0,4,7,M,110,6,0
